conv_id,turn_id,scenario,style,speaker,text,word_count,timestamp
1,1,Two old friends catching up after years apart,casual,A,Hey! Is that… is that really you?,7,2026-04-15T11:07:13.830285
1,2,Two old friends catching up after years apart,casual,B,Oh my god! No way! Look at you!,8,2026-04-15T11:07:13.830379
1,3,Two old friends catching up after years apart,casual,A,"I can't believe it! It's been… what, decades?",8,2026-04-15T11:07:13.830428
1,4,Two old friends catching up after years apart,casual,B,"Seriously, it feels like another lifetime. You haven't changed a bit!",11,2026-04-15T11:07:13.830469
1,5,Two old friends catching up after years apart,casual,A,Liar! But you actually look amazing. Still got that smile.,10,2026-04-15T11:07:13.830507
1,6,Two old friends catching up after years apart,casual,B,You're too kind. Just trying to keep up. How have you been?,12,2026-04-15T11:07:13.830541
1,7,Two old friends catching up after years apart,casual,A,"I'm good, really good. Living the quiet life, mostly.",9,2026-04-15T11:07:13.830573
1,8,Two old friends catching up after years apart,casual,B,Same here. What brings you to this part of town today?,11,2026-04-15T11:07:13.830604
1,9,Two old friends catching up after years apart,casual,A,"Just running errands, picking up a few things. You?",9,2026-04-15T11:07:13.830635
1,10,Two old friends catching up after years apart,casual,B,"Visiting my sister. She moved here last year, surprisingly.",9,2026-04-15T11:07:13.830666
1,11,Two old friends catching up after years apart,casual,A,"Oh, that's right! I think I heard something about that.",10,2026-04-15T11:07:13.830698
1,12,Two old friends catching up after years apart,casual,B,"So, still in the same place? Or did you finally move out of the city?",15,2026-04-15T11:07:13.830769
1,13,Two old friends catching up after years apart,casual,A,"Still in the city, can you believe it? Just can't leave.",11,2026-04-15T11:07:13.830803
1,14,Two old friends catching up after years apart,casual,B,"I get it. So, how's the family? All good?",9,2026-04-15T11:07:13.830835
1,15,Two old friends catching up after years apart,casual,A,"Everyone's great. My daughter just had her second, actually.",9,2026-04-15T11:07:13.830865
1,16,Two old friends catching up after years apart,casual,B,No way! A second? That's fantastic news!,7,2026-04-15T11:07:13.830897
1,17,Two old friends catching up after years apart,casual,A,"Yeah, it's wild. How about your kids? Big teenagers now, right?",11,2026-04-15T11:07:13.830927
1,18,Two old friends catching up after years apart,casual,B,Huge! Both taller than me. And causing all sorts of trouble.,11,2026-04-15T11:07:13.830959
1,19,Two old friends catching up after years apart,casual,A,I bet. Remember when we were that age? Absolute terrors.,10,2026-04-15T11:07:13.830991
1,20,Two old friends catching up after years apart,casual,B,"Oh god, don't remind me. We thought we were so cool.",11,2026-04-15T11:07:13.831022
1,21,Two old friends catching up after years apart,casual,A,That summer at the lake. We almost capsized that boat.,10,2026-04-15T11:07:13.831053
1,22,Two old friends catching up after years apart,casual,B,You pushed me in! I distinctly remember that.,8,2026-04-15T11:07:13.831084
1,23,Two old friends catching up after years apart,casual,A,"Just a little splash! Character building, I'd say.",8,2026-04-15T11:07:13.831113
1,24,Two old friends catching up after years apart,casual,B,"Haha, you always had an excuse. Good times though.",9,2026-04-15T11:07:13.831144
1,25,Two old friends catching up after years apart,casual,A,"The best. This is such a crazy, wonderful surprise.",9,2026-04-15T11:07:13.831174
1,26,Two old friends catching up after years apart,casual,B,It really is. We have to properly catch up soon.,10,2026-04-15T11:07:13.831205
1,27,Two old friends catching up after years apart,casual,A,Absolutely. Are you free for lunch sometime next week?,9,2026-04-15T11:07:13.831236
1,28,Two old friends catching up after years apart,casual,B,I think so! Let me check my schedule when I get home.,12,2026-04-15T11:07:13.831267
1,29,Two old friends catching up after years apart,casual,A,Perfect. We should find a quiet spot and just talk.,10,2026-04-15T11:07:13.831298
1,30,Two old friends catching up after years apart,casual,B,I'd love that. There's so much to tell you.,9,2026-04-15T11:07:13.831328
1,31,Two old friends catching up after years apart,casual,A,Me too. My stories are probably less exciting though.,9,2026-04-15T11:07:13.831358
1,32,Two old friends catching up after years apart,casual,B,Nonsense. Every life is interesting.,5,2026-04-15T11:07:13.831388
1,33,Two old friends catching up after years apart,casual,A,"Do you still have my old number? Probably not, right?",10,2026-04-15T11:07:13.831418
1,34,Two old friends catching up after years apart,casual,B,"No, I don't think so. That phone died years ago.",10,2026-04-15T11:07:13.831449
1,35,Two old friends catching up after years apart,casual,A,"Okay, let me grab your phone. I'll put my number in.",11,2026-04-15T11:07:13.831480
1,36,Two old friends catching up after years apart,casual,B,Here you go. So glad we bumped into each other.,10,2026-04-15T11:07:13.831510
1,37,Two old friends catching up after years apart,casual,A,"Me too, seriously. What are the chances?",7,2026-04-15T11:07:13.831540
1,38,Two old friends catching up after years apart,casual,B,Couldn't have planned it better. I'll text you tomorrow.,9,2026-04-15T11:07:13.831570
1,39,Two old friends catching up after years apart,casual,A,Sounds good! I'm really looking forward to it.,8,2026-04-15T11:07:13.831601
1,40,Two old friends catching up after years apart,casual,B,Me too! Take care for now. See you soon!,9,2026-04-15T11:07:13.831630
2,1,Friends deciding what to do on a Friday night,casual,A,"Hey, so what's the plan for tonight? Friday night!",9,2026-04-15T11:07:24.160415
2,2,Friends deciding what to do on a Friday night,casual,B,"I know! I'm feeling a bit wiped, to be honest.",10,2026-04-15T11:07:24.160437
2,3,Friends deciding what to do on a Friday night,casual,A,"Oh no, long week? I totally get that.",8,2026-04-15T11:07:24.160447
2,4,Friends deciding what to do on a Friday night,casual,B,"Yeah, client meeting ran super late. Just finished up.",9,2026-04-15T11:07:24.160454
2,5,Friends deciding what to do on a Friday night,casual,A,"Bummer. So, thinking chill then?",5,2026-04-15T11:07:24.160462
2,6,Friends deciding what to do on a Friday night,casual,B,Definitely leaning that way. Maybe just order in?,8,2026-04-15T11:07:24.160469
2,7,Friends deciding what to do on a Friday night,casual,A,I was kinda hoping to do something out. Like try that new ramen place?,14,2026-04-15T11:07:24.160477
2,8,Friends deciding what to do on a Friday night,casual,B,"Ooh, ramen sounds good, but I don't know if I have the energy to go *out* out.",17,2026-04-15T11:07:24.160485
2,9,Friends deciding what to do on a Friday night,casual,A,We could just grab a quick bite there. No pressure to hang around.,13,2026-04-15T11:07:24.160493
2,10,Friends deciding what to do on a Friday night,casual,B,"Hmm. My couch is really calling my name, though. PJs status.",11,2026-04-15T11:07:24.160501
2,11,Friends deciding what to do on a Friday night,casual,A,Fair enough. What if we compromised? We could get takeout ramen and watch a movie here?,16,2026-04-15T11:07:24.160509
2,12,Friends deciding what to do on a Friday night,casual,B,That actually sounds pretty perfect. I'm down for that.,9,2026-04-15T11:07:24.160517
2,13,Friends deciding what to do on a Friday night,casual,A,"Awesome! So, ramen from ""Noodle King""?",6,2026-04-15T11:07:24.160524
2,14,Friends deciding what to do on a Friday night,casual,B,"Yes, that one! Their spicy miso is the best.",9,2026-04-15T11:07:24.160532
2,15,Friends deciding what to do on a Friday night,casual,A,Agreed! What kind of movie are you feeling?,8,2026-04-15T11:07:24.160539
2,16,Friends deciding what to do on a Friday night,casual,B,"Something light, definitely. No intense dramas, please.",7,2026-04-15T11:07:24.160546
2,17,Friends deciding what to do on a Friday night,casual,A,"Comedy, maybe? Or a classic action flick?",7,2026-04-15T11:07:24.160554
2,18,Friends deciding what to do on a Friday night,casual,B,A good comedy would hit the spot. Anything new out?,10,2026-04-15T11:07:24.160562
2,19,Friends deciding what to do on a Friday night,casual,A,"I saw a trailer for that new rom-com, ""Love in the Aisles.""",12,2026-04-15T11:07:24.160569
2,20,Friends deciding what to do on a Friday night,casual,B,"Oh, I heard about that! Is it any good?",9,2026-04-15T11:07:24.160577
2,21,Friends deciding what to do on a Friday night,casual,A,Reviews say it's surprisingly funny. Might be worth a shot.,10,2026-04-15T11:07:24.160584
2,22,Friends deciding what to do on a Friday night,casual,B,"Okay, I'm game for a rom-com. Let's do it.",9,2026-04-15T11:07:24.160591
2,23,Friends deciding what to do on a Friday night,casual,A,"Perfect. So, ramen and ""Love in the Aisles."" My place or yours?",12,2026-04-15T11:07:24.160599
2,24,Friends deciding what to do on a Friday night,casual,B,Let's do yours. My internet's been a bit dodgy.,9,2026-04-15T11:07:24.160606
2,25,Friends deciding what to do on a Friday night,casual,A,No problem. I'll get the movie set up then.,9,2026-04-15T11:07:24.160614
2,26,Friends deciding what to do on a Friday night,casual,B,"Should I pick up the ramen, or do you want to order delivery?",13,2026-04-15T11:07:24.160621
2,27,Friends deciding what to do on a Friday night,casual,A,I can order it for delivery to my place. Easier that way.,12,2026-04-15T11:07:24.160632
2,28,Friends deciding what to do on a Friday night,casual,B,Sounds good to me. What time should I head over?,10,2026-04-15T11:07:24.160640
2,29,Friends deciding what to do on a Friday night,casual,A,How about 7:30? That gives us time for the food to arrive.,12,2026-04-15T11:07:24.160647
2,30,Friends deciding what to do on a Friday night,casual,B,Works for me! I just need to shower quickly.,9,2026-04-15T11:07:24.160654
2,31,Friends deciding what to do on a Friday night,casual,A,No rush. Just let me know when you're leaving.,9,2026-04-15T11:07:24.160661
2,32,Friends deciding what to do on a Friday night,casual,B,Will do! I'm already looking forward to this.,8,2026-04-15T11:07:24.160669
2,33,Friends deciding what to do on a Friday night,casual,A,Me too! Glad we figured it out.,7,2026-04-15T11:07:24.160676
2,34,Friends deciding what to do on a Friday night,casual,B,"Much better than staring at the ceiling, wondering what to do.",11,2026-04-15T11:07:24.160683
2,35,Friends deciding what to do on a Friday night,casual,A,Definitely. I was almost ready to just stay in anyway.,10,2026-04-15T11:07:24.160690
2,36,Friends deciding what to do on a Friday night,casual,B,See? We're on the same wavelength.,6,2026-04-15T11:07:24.160698
2,37,Friends deciding what to do on a Friday night,casual,A,Always are when it comes to Friday plans.,8,2026-04-15T11:07:24.160716
2,38,Friends deciding what to do on a Friday night,casual,B,"So true! Alright, I'll message you when I'm heading out.",10,2026-04-15T11:07:24.160724
2,39,Friends deciding what to do on a Friday night,casual,A,Sounds good! See ya then.,5,2026-04-15T11:07:24.160732
2,40,Friends deciding what to do on a Friday night,casual,B,See ya! Can't wait for that ramen.,7,2026-04-15T11:07:24.160739
3,1,Two coworkers venting about work during lunch,casual,A,"Hey, how's it going? You look like you've seen a ghost.",11,2026-04-15T11:07:33.630546
3,2,Two coworkers venting about work during lunch,casual,B,"Ghost of deadlines past, maybe. This morning was a nightmare.",10,2026-04-15T11:07:33.630599
3,3,Two coworkers venting about work during lunch,casual,A,Tell me about it. My inbox exploded before 9 AM.,10,2026-04-15T11:07:33.630626
3,4,Two coworkers venting about work during lunch,casual,B,"Mine too. And another ""urgent"" request from marketing.",8,2026-04-15T11:07:33.630648
3,5,Two coworkers venting about work during lunch,casual,A,"Oh god, not another one of their last-minute ideas.",9,2026-04-15T11:07:33.630669
3,6,Two coworkers venting about work during lunch,casual,B,"Exactly. With a due date of ""yesterday,"" of course.",9,2026-04-15T11:07:33.630690
3,7,Two coworkers venting about work during lunch,casual,A,"Seriously, do they even look at our project load?",9,2026-04-15T11:07:33.630747
3,8,Two coworkers venting about work during lunch,casual,B,I don't think they understand how anything works.,8,2026-04-15T11:07:33.630772
3,9,Two coworkers venting about work during lunch,casual,A,Sometimes I feel like I'm doing two jobs. Mine and theirs.,11,2026-04-15T11:07:33.630793
3,10,Two coworkers venting about work during lunch,casual,B,Right? It's like we're constantly putting out fires.,8,2026-04-15T11:07:33.630813
3,11,Two coworkers venting about work during lunch,casual,A,And then getting blamed for the smoke. It's exhausting.,9,2026-04-15T11:07:33.630833
3,12,Two coworkers venting about work during lunch,casual,B,Completely. I just want to finish a task without interruption.,10,2026-04-15T11:07:33.630854
3,13,Two coworkers venting about work during lunch,casual,A,One solid hour of focused work would be a dream.,10,2026-04-15T11:07:33.630874
